"Source:","/home/ben/bwbots-beer-caddy/pcb/bw_beer_caddy/bw_beer_caddy.kicad_sch"
"Date:","Mon 08 Aug 2022 06:29:55 PM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","Part Number","STANDARD"
"12","1","Q2","FQP27P06","Transistor_FET:FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF","","1088",""
"13","2","Q3, Q5","2N7000","Transistor_FET:2N7000","Package_TO_SOT_THT:TO-92_Inline","https://www.vishay.com/docs/70226/70226.pdf","","1089",""
"14","9","R1, R3, R5, R8, R9, R10, R11, R12, R13","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","1090",""
"15","1","R6","100K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","1076",""
"16","1","R7","10 Ohm","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","1092",""
"17","1","U1","ina219_breakout","bwbots:ina219_breakout","bwbots:ina219_breakout","","","1094",""
"18","1","U2","LM2575-5.0BT","Regulator_Switching:LM2575-5.0BT","Package_TO_SOT_THT:TO-220-5_Vertical","http://ww1.microchip.com/downloads/en/DeviceDoc/lm2575.pdf","","1095",""
"19","3","U3, U4, U5","LM2576TV-012G","bwbots:LM2576TV-012G","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","","","1106",""
"20","1","U6","SEN-13879","bwbots:SEN-13879","SPARKFUN_SEN-13879","","SparkFun","1097","Manufacturer Recommendations"
"21","1","U$1","PCA9685","bwbots:PCA9685","bwbots:PCA9685","","","1098",""
"22","1","U$2","TEENSY_3.5/3.6_BASIC","bwbots:TEENSY_3.5{brace}brace}slash}3.6_BASIC","bwbots:TEENSY_3.5_3.6_BASIC","","","1099",""
